"","0%","5%","10%","25%","50%","75%","90%","95%","100%","mean","chance_loss","chance_zero","chance_gain"
"y.cashflow_NPV_dredge_ncheck_nbuff15"," -14472","   -562","-3.7e+01","   1512","   3191","  5132","  7533","  9515","  29129","   3590","0.1060","0","0.8940"
"y.cashflow_NPV_dredge_ncheck_nbuff16"," -11235","   -405"," 8.6e+00","   1561","   3174","  5053","  7235","  9114","  27432","   3549","0.0988","0","0.9012"
"y.cashflow_NPV_dredge_ncheck_nbuff17"," -14365","   -320"," 3.0e+01","   1624","   3187","  4919","  7042","  8757","  25965","   3491","0.0940","0","0.9060"
"y.cashflow_NPV_dredge_ncheck_nbuff18"," -18020","   -308"," 3.5e+01","   1635","   3136","  4820","  6654","  8150","  31054","   3381","0.0930","0","0.9070"
"y.cashflow_NPV_dredge_ncheck_nbuff19","  -6904","   -271"," 4.4e+01","   1611","   3071","  4649","  6489","  7743","  20790","   3281","0.0896","0","0.9104"
"y.cashflow_NPV_dredge_ncheck_nbuff20","  -6951","   -222"," 5.4e+01","   1616","   2976","  4439","  6195","  7471","  25922","   3170","0.0879","0","0.9121"
"y.cashflow_NPV_dredge_ncheck_nbuff21","  -4766","   -216"," 5.3e+01","   1563","   2863","  4237","  5819","  7052","  19552","   3015","0.0888","0","0.9112"
"y.cashflow_NPV_dredge_ncheck_nbuff22","  -5507","   -204"," 4.5e+01","   1517","   2753","  4093","  5600","  6703","  20623","   2908","0.0898","0","0.9102"
"y.cashflow_NPV_dredge_ncheck_nbuff23","  -6439","   -176"," 5.8e+01","   1454","   2629","  3887","  5320","  6323","  18652","   2755","0.0856","0","0.9144"
"y.cashflow_NPV_dredge_ncheck_nbuff24","  -3592","   -163"," 5.7e+01","   1405","   2500","  3690","  4988","  6054","  19227","   2622","0.0851","0","0.9149"
"y.cashflow_NPV_dredge_ncheck_nbuff25","  -3340","   -159"," 5.0e+01","   1289","   2346","  3488","  4826","  5779","  17730","   2482","0.0862","0","0.9138"
"y.cashflow_NPV_dredge_ncheck_nbuff26","  -2726","   -137"," 5.7e+01","   1222","   2233","  3293","  4536","  5321","  15046","   2347","0.0825","0","0.9175"
"y.cashflow_NPV_dredge_ncheck_nbuff27","  -2686","   -131"," 4.4e+01","   1168","   2112","  3124","  4274","  5153","  12326","   2212","0.0839","0","0.9161"
"y.cashflow_NPV_dredge_ncheck_nbuff28","  -2224","   -125"," 5.1e+01","   1099","   1988","  2963","  4008","  4837","  13522","   2099","0.0852","0","0.9148"
"y.cashflow_NPV_dredge_ncheck_nbuff29","  -4061","   -116"," 4.7e+01","    993","   1846","  2757","  3748","  4515","  12147","   1951","0.0850","0","0.9150"
"y.cashflow_NPV_dredge_ncheck_nbuff30","  -3325","   -128"," 2.9e+01","    924","   1743","  2616","  3529","  4216","  10855","   1832","0.0896","0","0.9104"
"y.cashflow_NPV_ndredge_check_buff1","-384280","-285961","-2.7e+05","-235955","-194172","-75214","-49856","-41303","  12281","-169631","0.9991","0","0.0009"
"y.cashflow_NPV_ndredge_check_buff2"," -59901","  -6999","-3.1e+03","   1073","   6388"," 12078"," 18063"," 22236","  63436","   6882","0.1982","0","0.8018"
"y.cashflow_NPV_ndredge_check_buff3"," -43056","  -6068","-2.3e+03","   2049","   7541"," 13319"," 19219"," 23246","  60856","   7911","0.1606","0","0.8394"
"y.cashflow_NPV_ndredge_check_buff4"," -35530","  -4915","-1.2e+03","   2902","   8386"," 14445"," 20422"," 24747","  64323","   8934","0.1358","0","0.8642"
"y.cashflow_NPV_ndredge_check_buff5"," -26613","  -4029","-5.5e+02","   3511","   9326"," 15496"," 21444"," 25714","  70210","   9864","0.1183","0","0.8817"
"y.cashflow_NPV_ndredge_check_buff6"," -25039","  -2980","-6.4e+01","   3926","   9833"," 16036"," 22455"," 26464","  72167","  10462","0.1030","0","0.8970"
"y.cashflow_NPV_ndredge_check_buff7"," -27039","  -1478"," 4.3e+02","   4644","  10662"," 17003"," 23414"," 27934","  59182","  11394","0.0827","0","0.9173"
"y.cashflow_NPV_ndredge_check_buff8"," -24961","   -879"," 6.3e+02","   4823","  11047"," 17522"," 24041"," 28140","  76246","  11790","0.0744","0","0.9256"
"y.cashflow_NPV_ndredge_check_buff9"," -18609","   -427"," 1.0e+03","   5068","  11875"," 18504"," 25227"," 29746","  59820","  12564","0.0635","0","0.9365"
"y.cashflow_NPV_ndredge_check_buff10"," -33652","   -352"," 1.2e+03","   5390","  12333"," 19039"," 25677"," 30188","  71159","  13008","0.0619","0","0.9381"
"y.cashflow_NPV_ndredge_check_buff11"," -17167","    -47"," 1.5e+03","   5899","  12864"," 19745"," 26583"," 31548","  75724","  13653","0.0524","0","0.9476"
"y.cashflow_NPV_ndredge_check_buff12"," -16947","     50"," 1.9e+03","   6246","  13312"," 20464"," 27525"," 32189","  70268","  14170","0.0474","0","0.9526"
"y.cashflow_NPV_ndredge_check_buff13"," -14713","    104"," 2.2e+03","   6571","  13699"," 20607"," 27730"," 32468","  75143","  14506","0.0441","0","0.9559"
"y.cashflow_NPV_ndredge_check_buff14"," -12265","    229"," 2.4e+03","   6841","  14027"," 21092"," 28321"," 33491","  93331","  14902","0.0383","0","0.9617"
"y.cashflow_NPV_ndredge_check_buff15"," -11663","    206"," 2.6e+03","   7010","  14341"," 21524"," 28777"," 33386","  75164","  15157","0.0384","0","0.9616"
"y.cashflow_NPV_ndredge_check_buff16","  -9561","    235"," 2.7e+03","   7112","  14437"," 21627"," 28967"," 34078","  72238","  15339","0.0385","0","0.9615"
"y.cashflow_NPV_ndredge_check_buff17","  -8975","    263"," 2.8e+03","   7338","  14836"," 21942"," 29204"," 33795","  78897","  15579","0.0372","0","0.9628"
"y.cashflow_NPV_ndredge_check_buff18","  -6377","    311"," 2.8e+03","   7278","  15037"," 21982"," 29066"," 34132","  75940","  15589","0.0334","0","0.9666"
"y.cashflow_NPV_ndredge_check_buff19","  -7722","    239"," 2.9e+03","   7263","  15240"," 22162"," 29155"," 34269","  95646","  15730","0.0349","0","0.9651"
